        Frequency / GHz                SZmax(1),Zmax(1) (Lx=8) (Re)/
                 10.8727                     -0.15304807
                 10.8876                      -0.1536838
                 10.9025                     -0.15432245
                 10.9174                     -0.15496403
                 10.9323                     -0.15560856
                 10.9472                     -0.15625607
                 10.9621                     -0.15690658
                  10.977                     -0.15756011
                 10.9919                     -0.15821669
                 11.0068                     -0.15887632
                 11.0217                     -0.15953904
                 11.0366                     -0.16020486
                 11.0515                      -0.1608738
                 11.0664                     -0.16154589
                 11.0813                     -0.16222113
                 11.0962                     -0.16289954
                 11.1111                     -0.16358114
                  11.126                     -0.16426594
                 11.1409                     -0.16495396
                 11.1558                      -0.1656452
                 11.1707                     -0.16633968
                 11.1856                      -0.1670374
                 11.2005                     -0.16773837
                 11.2154                      -0.1684426
                 11.2303                     -0.16915009
                 11.2452                     -0.16986084
                 11.2601                     -0.17057485
                  11.275                     -0.17129213
                 11.2899                     -0.17201266
                 11.3048                     -0.17273644
                 11.3197                     -0.17346347
                 11.3346                     -0.17419374
                 11.3495                     -0.17492723
                 11.3644                     -0.17566394
                 11.3793                     -0.17640385
                 11.3942                     -0.17714694
                 11.4091                      -0.1778932
                  11.424                     -0.17864261
                 11.4389                     -0.17939515
                 11.4538                      -0.1801508
                 11.4687                     -0.18090954
                 11.4836                     -0.18167135
                 11.4985                      -0.1824362
                 11.5134                     -0.18320406
                 11.5283                     -0.18397493
                 11.5432                     -0.18474876
                 11.5581                     -0.18552554
                  11.573                     -0.18630524
                 11.5879                     -0.18708784
                 11.6028                     -0.18787332
                 11.6177                     -0.18866165
                 11.6326                     -0.18945282
                 11.6475                     -0.19024679
                 11.6624                     -0.19104357
                 11.6773                     -0.19184311
                 11.6922                     -0.19264542
                 11.7071                     -0.19345048
                  11.722                     -0.19425826
                 11.7369                     -0.19506877
                 11.7518                       -0.195882
                 11.7667                     -0.19669794
                 11.7816                     -0.19751658
                 11.7965                     -0.19833792
                 11.8114                     -0.19916196
                 11.8263                     -0.19998871
